,Label,Time
751,bird,0.0169
752,bird,0.017
753,cat,0.0177
754,deer,0.016
755,horse,0.0171
756,bird,0.017
757,bird,0.0149
758,plane,0.0158
759,ship,0.0169
760,dog,0.0163
761,bird,0.0175
762,horse,0.0165
763,horse,0.0165
764,dog,0.0171
765,horse,0.0163
766,cat,0.0164
767,truck,0.016
768,truck,0.0169
769,bird,0.0176
770,deer,0.0169
771,dog,0.0176
772,bird,0.0167
773,cat,0.0182
774,dog,0.0165
775,deer,0.0163
776,horse,0.0164
777,cat,0.0159
778,frog,0.018
779,horse,0.0152
780,cat,0.0175
781,frog,0.0165
782,horse,0.0162
783,bird,0.0158
784,cat,0.0169
785,deer,0.0179
786,dog,0.0165
787,cat,0.0181
788,ship,0.016
789,bird,0.0179
790,cat,0.0168
791,horse,0.0178
792,plane,0.018
793,cat,0.016
794,cat,0.0172
795,deer,0.0164
796,horse,0.0172
797,cat,0.016
798,frog,0.0163
799,cat,0.0174
800,dog,0.0162
801,bird,0.0172
802,deer,0.0173
803,frog,0.0175
804,dog,0.0166
805,horse,0.0157
806,cat,0.0161
807,bird,0.0176
808,deer,0.0167
809,horse,0.0181
810,bird,0.0179
811,bird,0.0163
812,plane,0.0155
813,cat,0.0169
814,truck,0.0186
815,truck,0.0169
816,bird,0.0167
817,dog,0.015
818,cat,0.0161
819,horse,0.0163
820,deer,0.0163
821,deer,0.0157
822,cat,0.0158
823,dog,0.0178
824,horse,0.0163
825,dog,0.0148
826,frog,0.0183
827,cat,0.0158
828,dog,0.0178
829,cat,0.0156
830,deer,0.0177
831,truck,0.0148
832,cat,0.0162
833,cat,0.0173
834,ship,0.0169
835,cat,0.0167
836,dog,0.016
837,cat,0.0167
838,deer,0.015
839,car,0.0153
840,bird,0.0159
841,dog,0.0161
842,cat,0.0158
843,dog,0.0157
844,plane,0.0172
845,cat,0.0166
846,bird,0.0164
847,dog,0.017
848,dog,0.016
849,bird,0.0156
850,deer,0.0157
851,dog,0.0167
852,deer,0.016
853,cat,0.0159
854,plane,0.017
855,ship,0.0175
856,horse,0.0165
857,bird,0.0162
858,bird,0.0157
859,cat,0.0161
860,frog,0.0165
861,horse,0.0176
862,bird,0.0161
863,horse,0.0177
864,horse,0.0156
865,truck,0.0162
866,frog,0.0172
867,bird,0.0178
868,dog,0.0157
869,frog,0.0179
870,deer,0.0158
871,ship,0.0178
872,cat,0.0156
873,deer,0.0177
874,deer,0.0159
875,bird,0.0176
876,frog,0.0159
877,horse,0.0171
878,dog,0.0161
879,bird,0.0167
880,cat,0.0162
881,cat,0.0166
882,cat,0.0156
883,plane,0.016
884,bird,0.0168
885,frog,0.0177
886,dog,0.0179
887,plane,0.0166
888,cat,0.0169
889,cat,0.0189
890,horse,0.0165
891,bird,0.0164
892,bird,0.0157
893,bird,0.017
894,bird,0.0163
895,frog,0.0165
896,cat,0.0167
897,deer,0.016
898,dog,0.0176
899,bird,0.0173
900,cat,0.017
901,frog,0.0182
902,bird,0.018
903,horse,0.0181
904,horse,0.0165
905,cat,0.0156
906,horse,0.018
907,cat,0.0163
908,ship,0.0181
909,cat,0.0158
910,plane,0.018
911,plane,0.0161
912,bird,0.016
913,dog,0.0176
914,deer,0.0175
915,ship,0.0165
916,deer,0.0159
917,cat,0.0159
918,cat,0.0181
919,ship,0.0163
920,bird,0.0161
921,bird,0.0181
922,bird,0.0169
923,bird,0.0182
924,cat,0.0181
925,plane,0.0179
926,frog,0.0178
927,truck,0.0183
928,truck,0.0181
929,bird,0.0174
930,cat,0.0177
931,cat,0.0182
932,frog,0.0174
933,bird,0.0169
934,bird,0.0192
935,deer,0.0177
936,plane,0.018
937,bird,0.0175
938,cat,0.017
939,bird,0.0179
940,dog,0.0182
941,cat,0.0167
942,deer,0.0183
943,cat,0.0172
944,cat,0.0168
945,cat,0.0174
946,cat,0.0185
947,horse,0.0183
948,frog,0.0184
949,cat,0.0163
950,cat,0.0166
951,bird,0.0166
952,dog,0.0172
953,dog,0.0167
954,bird,0.0172
955,cat,0.0172
956,plane,0.0164
957,cat,0.0171
958,dog,0.0181
959,dog,0.017
960,frog,0.0163
961,cat,0.0169
962,dog,0.0186
963,frog,0.0178
964,bird,0.0181
965,cat,0.0173
966,car,0.0179
967,plane,0.0176
968,horse,0.0175
969,cat,0.0186
970,cat,0.0167
971,bird,0.0183
972,bird,0.0173
973,cat,0.0165
974,cat,0.0163
975,cat,0.0169
976,deer,0.0165
977,bird,0.0183
978,bird,0.0157
979,cat,0.016
980,cat,0.0168
981,bird,0.0169
982,bird,0.0167
983,bird,0.0164
984,car,0.0177
985,bird,0.0159
986,frog,0.016
987,dog,0.0167
988,frog,0.0161
989,dog,0.0163
990,horse,0.0163
991,dog,0.0161
992,dog,0.0152
993,bird,0.016
994,cat,0.0157
995,ship,0.017
996,deer,0.0162
997,dog,0.0187
998,cat,0.016
999,horse,0.0173
1000,dog,0.018
1001,bird,0.0169
1002,cat,0.0167
1003,bird,0.0161
1004,cat,0.0177
1005,dog,0.0169
1006,dog,0.0158
1007,horse,0.0164
1008,dog,0.0175
1009,cat,0.0181
1010,horse,0.018
1011,horse,0.0182
1012,cat,0.0173
1013,deer,0.0183
1014,horse,0.0165
1015,bird,0.0185
1016,cat,0.0167
1017,dog,0.0164
1018,cat,0.0165
1019,frog,0.0177
1020,frog,0.0176
1021,deer,0.0175
1022,dog,0.0165
1023,horse,0.0169
1024,dog,0.0155
1025,dog,0.0157
1026,deer,0.0165
1027,bird,0.0169
1028,bird,0.0159
1029,dog,0.0184
1030,horse,0.0161
1031,bird,0.0168
1032,bird,0.0166
1033,bird,0.0168
1034,bird,0.0179
1035,horse,0.0169
1036,horse,0.0177
1037,dog,0.016
1038,car,0.0162
1039,deer,0.016
1040,bird,0.0179
1041,horse,0.0168
1042,horse,0.0154
1043,dog,0.0166
1044,cat,0.0185
1045,dog,0.0177
1046,horse,0.0163
1047,frog,0.0168
1048,dog,0.0167
1049,frog,0.0175
1050,bird,0.0169
1051,horse,0.0163
1052,horse,0.0159
1053,dog,0.0168
1054,deer,0.0154
1055,cat,0.0173
1056,dog,0.0171
1057,ship,0.0167
1058,cat,0.0167
1059,dog,0.0171
1060,deer,0.0169
1061,dog,0.0176
1062,ship,0.016
1063,bird,0.018
1064,deer,0.0179
1065,dog,0.0166
1066,cat,0.0164
1067,cat,0.0177
1068,truck,0.0166
1069,cat,0.0161
1070,cat,0.0172
1071,bird,0.0164
1072,horse,0.0161
1073,ship,0.0166
1074,car,0.0176
1075,cat,0.0181
1076,deer,0.0167
1077,bird,0.0176
1078,cat,0.0165
1079,cat,0.0165
1080,cat,0.0169
1081,plane,0.0165
1082,plane,0.0164
1083,bird,0.016
1084,bird,0.016
1085,horse,0.0156
1086,plane,0.0159
1087,dog,0.0169
1088,dog,0.0161
1089,deer,0.0181
1090,bird,0.0183
1091,dog,0.017
1092,horse,0.0165
1093,dog,0.0163
1094,truck,0.0167
1095,deer,0.0163
1096,cat,0.0169
1097,plane,0.0182
1098,dog,0.0171
1099,cat,0.0165
1100,cat,0.0165
1101,horse,0.0174
1102,car,0.0166
1103,plane,0.017
1104,ship,0.0162
1105,dog,0.0171
1106,dog,0.0167
1107,frog,0.0162
1108,cat,0.0169
1109,cat,0.0166
1110,deer,0.0164
1111,plane,0.0167
1112,dog,0.0178
1113,horse,0.0158
1114,horse,0.018
1115,cat,0.0165
1116,truck,0.0153
1117,dog,0.0163
1118,cat,0.0178
1119,cat,0.0182
1120,deer,0.0174
1121,bird,0.0173
1122,cat,0.0171
1123,horse,0.0161
1124,frog,0.0174
1125,cat,0.0165
1126,dog,0.0157
1127,cat,0.0167
1128,dog,0.0166
1129,truck,0.0181
1130,cat,0.0168
1131,cat,0.0169
1132,dog,0.0168
1133,bird,0.0159
1134,cat,0.0165
1135,ship,0.0168
1136,cat,0.0165
1137,cat,0.0184
1138,plane,0.017
1139,bird,0.0173
1140,bird,0.0182
1141,dog,0.0169
1142,cat,0.0167
1143,car,0.018
1144,frog,0.0176
1145,cat,0.017
1146,plane,0.0166
1147,bird,0.0172
1148,cat,0.0167
1149,cat,0.0164
1150,cat,0.0169
1151,dog,0.0169
1152,cat,0.0175
1153,dog,0.0164
1154,deer,0.0153
1155,cat,0.0167
1156,horse,0.0181
1157,cat,0.0165
1158,truck,0.0173
1159,dog,0.0163
1160,cat,0.0181
1161,ship,0.016
1162,cat,0.0169
1163,deer,0.0169
1164,horse,0.0169
1165,bird,0.0156
1166,bird,0.0183
1167,cat,0.0163
1168,cat,0.0165
1169,plane,0.0172
1170,cat,0.0165
1171,bird,0.0174
1172,bird,0.0159
1173,plane,0.0166
1174,dog,0.0172
1175,bird,0.0172
1176,dog,0.0169
1177,dog,0.017
1178,dog,0.0166
1179,deer,0.017
1180,dog,0.0191
1181,cat,0.0192
1182,bird,0.018
1183,dog,0.019
1184,cat,0.018
1185,horse,0.0188
1186,bird,0.0189
1187,horse,0.0187
1188,horse,0.0169
1189,deer,0.0169
1190,cat,0.0185
1191,car,0.0184
1192,cat,0.0184
1193,ship,0.0169
1194,dog,0.0171
1195,frog,0.0177
1196,deer,0.0171
1197,cat,0.0166
1198,cat,0.0179
1199,frog,0.0166
1200,dog,0.0187
1201,bird,0.0175
1202,deer,0.0167
1203,ship,0.0171
1204,cat,0.0167
1205,ship,0.016
1206,cat,0.0166
1207,dog,0.0175
1208,cat,0.0164
1209,truck,0.0181
1210,plane,0.0162
1211,deer,0.0172
1212,truck,0.0158
1213,frog,0.0164
1214,deer,0.0155
1215,dog,0.0178
1216,cat,0.0158
1217,dog,0.0181
1218,cat,0.0165
1219,cat,0.0173
1220,deer,0.016
1221,dog,0.0181
1222,horse,0.0157
1223,deer,0.018
1224,bird,0.0161
1225,deer,0.0158
1226,cat,0.0159
1227,dog,0.0177
1228,bird,0.0167
1229,cat,0.0158
1230,bird,0.016
1231,deer,0.0159
1232,deer,0.0155
1233,bird,0.0167
1234,frog,0.0155
1235,dog,0.0165
1236,frog,0.0181
1237,cat,0.0185
1238,deer,0.0165
1239,cat,0.0161
1240,dog,0.016
1241,cat,0.0178
1242,cat,0.0187
1243,dog,0.018
1244,bird,0.0153
1245,deer,0.0159
1246,dog,0.016
1247,ship,0.015
1248,horse,0.0162
1249,cat,0.0158
1250,cat,0.0164
1251,horse,0.0185
1252,deer,0.0159
1253,cat,0.0184
1254,horse,0.0158
1255,cat,0.015
1256,dog,0.0171
1257,cat,0.016
1258,cat,0.0169
1259,dog,0.0164
1260,horse,0.0155
1261,cat,0.0176
1262,horse,0.017
1263,plane,0.0161
1264,frog,0.016
1265,horse,0.0161
1266,bird,0.0159
1267,cat,0.0161
1268,cat,0.0164
1269,cat,0.0167
1270,bird,0.0157
1271,dog,0.0163
1272,dog,0.0166
1273,cat,0.0165
1274,horse,0.0162
1275,car,0.0177
1276,deer,0.0182
1277,deer,0.0153
1278,deer,0.0161
1279,plane,0.0155
1280,plane,0.0162
1281,dog,0.0184
1282,cat,0.0173
1283,cat,0.016
1284,ship,0.0163
1285,horse,0.0164
1286,horse,0.0159
1287,dog,0.0155
1288,bird,0.0178
1289,horse,0.0156
1290,frog,0.0172
1291,dog,0.0162
1292,dog,0.0189
1293,bird,0.0179
1294,dog,0.0173
1295,horse,0.0165
1296,cat,0.0175
1297,dog,0.0166
1298,dog,0.0167
1299,cat,0.0166
1300,frog,0.0171
1301,cat,0.0161
1302,cat,0.0163
1303,dog,0.0181
1304,bird,0.016
1305,bird,0.0177
1306,bird,0.0173
1307,cat,0.018
1308,dog,0.0158
1309,cat,0.0173
1310,plane,0.0171
1311,bird,0.0163
1312,horse,0.0185
1313,bird,0.016
1314,cat,0.0176
1315,cat,0.0162
1316,deer,0.0169
1317,dog,0.0158
1318,dog,0.0179
1319,truck,0.0162
1320,bird,0.0181
1321,bird,0.0182
1322,bird,0.0165
1323,dog,0.0161
1324,ship,0.0169
1325,deer,0.0164
1326,cat,0.0182
1327,horse,0.0152
1328,bird,0.0171
1329,cat,0.0181
1330,dog,0.0159
1331,cat,0.016
1332,horse,0.0157
1333,bird,0.017
1334,bird,0.0166
1335,plane,0.0163
1336,cat,0.0177
1337,cat,0.0169
1338,plane,0.0173
1339,horse,0.017
1340,horse,0.0173
1341,horse,0.0165
1342,cat,0.0185
1343,plane,0.0165
1344,cat,0.0164
1345,horse,0.017
1346,plane,0.0166
1347,plane,0.0159
1348,dog,0.0182
1349,cat,0.0178
1350,cat,0.0175
1351,plane,0.018
1352,cat,0.0164
1353,bird,0.0157
1354,plane,0.0159
1355,horse,0.0181
1356,bird,0.018
1357,dog,0.0164
1358,cat,0.0162
1359,bird,0.0169
1360,ship,0.0153
1361,bird,0.0152
1362,dog,0.016
1363,horse,0.0158
1364,dog,0.0164
1365,bird,0.0179
1366,bird,0.0181
1367,plane,0.0167
1368,plane,0.0157
1369,plane,0.0177
1370,horse,0.0177
1371,ship,0.0158
1372,dog,0.0169
1373,cat,0.0165
1374,cat,0.0171
1375,bird,0.0163
1376,horse,0.0162
